date,open,high,low,close,volume,symbol,ret_1d,cum_ret,vol_ann,phase,year,month
2021-01-27 07:00:00,1.13,1.13,1.07,1.08,241013700,VN30,-0.044247787610619316,21.34831460674158,31.536607799995824,2_COVID_Recovery,2021,1
2021-01-28 07:00:00,1.08,1.08,1.01,1.01,282129400,VN30,-0.06481481481481488,13.483146067415719,39.28405496282874,2_COVID_Recovery,2021,1
2021-01-29 07:00:00,1.01,1.07,0.98,1.05,242653600,VN30,0.03960396039603964,17.97752808988764,41.837188999472076,2_COVID_Recovery,2021,1
2021-02-01 07:00:00,1.05,1.07,1.03,1.03,175342500,VN30,-0.01904761904761909,15.73033707865168,41.67274806649046,2_COVID_Recovery,2021,2
2021-02-02 07:00:00,1.03,1.08,1.03,1.08,162837100,VN30,0.04854368932038833,21.34831460674158,45.31841391114711,2_COVID_Recovery,2021,2
2021-02-03 07:00:00,1.08,1.12,1.08,1.12,204897000,VN30,0.03703703703703698,25.842696629213503,47.153417607146544,2_COVID_Recovery,2021,2
2021-02-04 07:00:00,1.12,1.13,1.1,1.12,155634900,VN30,0.0,25.842696629213503,46.71620030067117,2_COVID_Recovery,2021,2
2021-02-05 07:00:00,1.12,1.14,1.12,1.14,139783900,VN30,0.01785714285714257,28.08988764044942,46.72418683372286,2_COVID_Recovery,2021,2
2021-02-08 07:00:00,1.14,1.14,1.08,1.09,228472200,VN30,-0.04385964912280682,22.47191011235956,49.08826420583915,2_COVID_Recovery,2021,2
2021-02-09 07:00:00,1.09,1.13,1.09,1.13,173192200,VN30,0.0366972477064218,26.966292134831438,50.92062447584724,2_COVID_Recovery,2021,2
2021-02-17 07:00:00,1.13,1.17,1.13,1.17,155280800,VN30,0.03539823008849563,31.46067415730336,52.45104852577962,2_COVID_Recovery,2021,2
2021-02-18 07:00:00,1.17,1.19,1.16,1.19,183246200,VN30,0.017094017094017033,33.70786516853932,52.70098357388178,2_COVID_Recovery,2021,2
2021-02-19 07:00:00,1.19,1.19,1.17,1.18,166179400,VN30,-0.008403361344537785,32.584269662921336,52.738549408378255,2_COVID_Recovery,2021,2
2021-02-22 07:00:00,1.18,1.19,1.17,1.18,175256400,VN30,0.0,32.584269662921336,52.632345184000265,2_COVID_Recovery,2021,2
2021-02-23 07:00:00,1.18,1.19,1.17,1.18,195049200,VN30,0.0,32.584269662921336,48.89747048634761,2_COVID_Recovery,2021,2
2021-02-24 07:00:00,1.18,1.19,1.16,1.17,178724400,VN30,-0.008474576271186418,31.46067415730336,49.03066771787481,2_COVID_Recovery,2021,2
2021-02-25 07:00:00,1.17,1.18,1.16,1.17,158378900,VN30,0.0,31.46067415730336,48.19611289162248,2_COVID_Recovery,2021,2
